                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2759,                 4.2842,                 4.2319,                0.00234,                0.25202,                0.00263,                0.00098,                 3.1394,                 4.6379,                   4.12,               0.070484,              0.0032796,              0.0032796
                      1,                 3.3828,                 4.2038,                 4.1672,                0.00235,                 0.2538,                0.00586,                0.00156,                 3.1678,                 4.6039,                   4.09,               0.040157,              0.0062856,              0.0062856
                      2,                 3.2919,                 4.1566,                 4.1052,                0.00416,                 0.0998,                0.00176,                 0.0005,                 3.3439,                 105.26,                 21.324,              0.0094992,              0.0089616,              0.0089616
                      3,                 3.2887,                 4.1346,                 4.0504,                0.35032,                0.00431,                0.00145,                0.00032,                 3.6252,                 6.3756,                 8.6782,               0.008515,               0.008515,               0.008515
                      4,                 3.2065,                 4.0875,                 3.9894,                0.00286,                 0.1755,                0.00225,                0.00066,                 3.5168,                  5.118,                 4.7611,               0.008515,               0.008515,               0.008515
                      5,                 3.2432,                 4.0241,                 3.9106,                0.00367,                0.11509,                 0.0025,                0.00054,                 3.2735,                 5.7614,                 4.4855,                0.00802,                0.00802,                0.00802
                      6,                 3.1239,                 3.9636,                 3.7998,                0.36828,                0.03137,                0.02016,                0.00341,                 2.9399,                 4.6729,                 3.7649,               0.007525,               0.007525,               0.007525
                      7,                 3.0908,                 3.8911,                 3.6686,                0.69346,                0.03529,                0.01493,                0.00248,                 3.0444,                  4.619,                  3.915,                0.00703,                0.00703,                0.00703
